method,release_trajectory_count,eligible_grid_sequences,next_cell_coverage,next_cell_hit_at_1,next_cell_hit_at_5,next_cell_mrr,next_cell_query_count,destination_coverage,destination_hit_at_1,destination_hit_at_5,destination_mrr,destination_query_count,range_query_are
Real-train,13698.0,11426.0,0.9991407352850917,0.6274955464094846,0.9444990478530623,0.7583875954706358,32586.0,0.9870448179271709,0.4111387016672579,0.6229159276339127,0.4949686650112332,2856.0,0.06972519984676606
SPRT,13698.0,13697.0,1.0,0.023998035966365926,0.10123979623151047,0.05087921193150455,32586.0,1.0,0.004901960784313725,0.031862745098039214,0.011992296918767503,2856.0,10.353610356256038
PrivTrace,13698.0,13672.0,1.0,0.05566807831584116,0.22755170932302216,0.11181233249452742,32586.0,1.0,0.009103641456582634,0.03571428571428571,0.019164332399626522,2856.0,15.4324303188444
DPTraj-PM,13698.0,13599.0,0.21724053274412325,0.059612939680745866,0.17248198898149456,0.09508169703818839,32586.0,0.14460784313725492,0.007263922518159807,0.06295399515738499,0.030024213075060528,2856.0,1.60905154741619
DPStd,13698.0,13698.0,0.9839501626465353,0.06718023890465646,0.21071016436390855,0.11516805455925334,32586.0,0.9229691876750701,0.04817905918057663,0.1274658573596358,0.07510748609003542,2856.0,4.808718983751799
MTR-GSRT,13698.0,12552.0,0.9969311974467563,0.38228775472511234,0.876623776395986,0.570426747932463,32586.0,0.9803921568627451,0.04535714285714286,0.19071428571428573,0.09454761904761905,2856.0,0.3140489834253637
