method,DOMIAS,GDA-MIA,Origin,Route
MTR-GSRT,0.517683,0.51759,0.020440940283253,0.0187618630457001
DPMM,0.8797699999999999,0.835397,0.6033840947546532,0.5820642978003384
PUTS,0.899269875608437,0.7283424999999999,0.0116279069767441,0.0232558139534883
MTNet,0.512464,0.5087425,0.8765085602020769,0.4035924782486668
