M,R,RoadYield,BTF,RC-CPC,EdgeCPC,TurnCPC,FamilyCPC
DPStd,FMM,0.6350522688781172,0.001814931989460268,0.017356537305366973,0.017770362578076685,0.0154453413408457,0.10942054360377798
DPStd,STMatch,0.7939029375693512,0.0818910428296064,0.23747595317251682,0.28681096730069333,0.2797977654474128,0.149029054604452
DPTraj-PM,FMM,0.0009344156981837294,0.0005350467964709282,0.0034789070152328842,0.004532772818476309,0.004124481145542793,1.898613570014749e-05
DPTraj-PM,STMatch,0.15493780295508963,0.030373827328092854,0.08461396022324662,0.11631111757246136,0.11527055165060109,0.0010602802828282734
MTR-GSRT,Original,1.0,0.23247794536687577,0.26623649605585087,0.29557045482545147,0.2790703639987571,0.24260033393262198
PrivTrace,FMM,0.18478070431583252,0.04692271362865454,0.09948174006202888,0.09631130351759604,0.08818790446635225,0.042796052838229515
PrivTrace,STMatch,0.5404426794370145,0.2252936239590685,0.39172481096998574,0.4239205137479752,0.4116594560967386,0.1532619972716737
SPRT,FMM,0.01740349237867196,0.008998495034254136,0.10231229625284405,0.12541836493521571,0.11395357106699251,0.0028151715976716856
SPRT,STMatch,0.9284003971266718,0.28648998611353416,0.3309590347641394,0.39028504908520845,0.38310968722063465,0.0764959667258665
