dataset,UsableRatio,MeanPoints,RevisitRatio,ClosedTripRatio,MeanDirectness
Real,1.0,1086.5072709221515,0.8136865421282181,0.07551246860947264,0.4883819719677885
SPRT,1.0,12.320212579571336,0.015826788868981916,5.840098113648309e-05,0.6244375072766053
PrivTrace,1.0,5.140746364538924,0.15895087467857427,0.1526601646907668,0.6225589234895832
DPTraj-PM,1.0,55.371021433160074,0.020205307684319596,0.22431816854523157,0.062437702989552764
DPStd,1.0,275.3460842142148,0.9896801551452196,0.7971733925129942,0.9266972007827482
MTR-GSRT,1.0,1159.5844186182328,0.6789456029423142,0.08707586287449628,0.40120249111250306
