Ablation arm,Grid,Trip,Len,WitnessValid,NextRoadAcc,NextRoadNLL,RoadYield,DemandFid,BTF,RC-CPC,EdgeCPC,TurnCPC,FamilyCPC,BranchCPC,ExitAcc,ODPF96,ODPF384
MTR-GSRT,0.18886739046556006,0.485888093886532,0.03187251535794571,1.0,0.57541231787627,2.5514463868725077,1.0,0.7840170242350112,0.23247794536687577,0.2286476539203251,0.29557045482545147,0.2790703639987571,0.24260033393262198,0.5707388022847939,0.5496873755159136,0.2346707442613167,0.1105390855257748
No Portal-Fiber measurement,0.2378879079507247,0.485888093886532,0.030208933242925607,1.0,0.5471548789852044,2.591317025583979,1.0,0.7840170242350112,0.22755502246663245,0.2240622815046733,0.31638457790956476,0.3003728302324374,0.23864467377235205,0.5817115339110462,0.5416285751530423,0.22648610579420045,0.09566535469741104
No compact graph-flow measurement,0.204596696586453,0.485888093886532,0.03478234161226858,1.0,0.5662021099680041,2.548541882938895,1.0,0.7840170242350112,0.2289698481257713,0.22551173198975563,0.2919123364693925,0.27562422306493156,0.24430915594760477,0.5721992750306873,0.5435137633534826,0.2355272062527,0.1106166824134665
Demand measurements only,0.25130103657102015,0.485888093886532,0.029828659387058046,1.0,0.5566910390704043,2.5930064657573224,1.0,0.7840170242350112,0.22620928998691617,0.2226565787595066,0.3095007147364083,0.2939609890114851,0.23911508087837868,0.5848074334432939,0.5526923952425402,0.23010457423679362,0.0935673745130739
